sub,POA,token,syll_dur,v_dur,Av,Ahi,max23,Av.Ahi,Av.max23
1,2,58,0.1119,0.067,29.7,17.3,12.1,12.4,17.6
2,1,14,0.3212,0.2233,16.8,-1.4,-0.8,18.2,17.6
6,2,110,0.0314,0.223,31.1,3.9,13.5,27.2,17.6
1,3,67,0.0957,0.0672,30.7,0.2,12.9,30.5,17.8
3,3,41,0.3016,0.1943,14.2,-14.4,-3.6,28.6,17.8
3,3,48,0.3054,0.2096,17.7,-4.4,-0.1,22.1,17.8
5,3,207,0.1893,0.1481,29.5,7.2,11.7,22.3,17.8
6,3,228,0.1275,0.071,28.8,-9,11,37.8,17.8
2,3,80,0.1602,0.1101,8.1,-23,-9.8,31.1,17.9
2,3,82,0.1731,0.1263,9.4,-29,-8.5,38.4,17.9
6,2,128,0.1684,0.0913,28.7,-9.2,10.8,37.9,17.9
2,3,4,0.4776,0.3524,20.6,-6.3,2.7,26.9,17.9
2,3,23,0.3657,0.2483,14.6,-15.4,-3.4,30,18
6,2,109,0.2925,0.2093,31.3,3.7,13.3,27.6,18
1,2,7,0.5102,0.3947,26.3,3,8.2,23.3,18.1
2,3,3,0.5046,0.3695,23.6,-8.3,5.5,31.9,18.1
2,3,22,0.3366,0.2237,13.4,-20,-4.7,33.4,18.1
2,3,43,0.2143,0.118,12.4,-25.6,-5.7,38,18.1
3,2,106,0.2143,0.1403,21.6,-11.1,3.5,32.7,18.1
6,2,142,0.1169,0.0514,29.1,-4.9,11,34,18.1
5,3,213,0.1825,0.1,33.3,6.4,15.1,26.9,18.2
1,3,44,0.0885,0.0524,30,-0.4,11.8,30.4,18.2
2,3,77,0.125,0.0702,9.7,-24,-8.5,33.7,18.2
2,1,21,0.2798,0.1892,16.4,-13,-1.8,29.4,18.2
3,3,11,0.4819,0.3811,18.4,4.4,0.2,14,18.2
6,3,209,0.2089,0.152,33.9,0.4,15.7,33.5,18.2
6,2,138,0.1306,0.0751,25.6,-7.5,7.4,33.1,18.2
2,3,12,0.4554,0.3247,13.7,-20,-4.6,33.7,18.3
3,3,54,0.3207,0.2108,15.8,-7,-2.5,22.8,18.3
1,3,58,0.0883,0.0634,31.3,-2.9,12.9,34.2,18.4
2,3,58,0.2606,0.2005,6.2,-31.4,-12.2,37.6,18.4
2,3,84,0.1412,0.0936,6.4,-32.1,-12,38.5,18.4
2,1,11,0.2735,0.146,29.7,1.8,11.3,27.9,18.4
1,1,11,0.2684,0.188,28.2,0.7,9.7,27.5,18.5
3,3,6,0.4368,0.3641,18.9,5.6,0.4,13.3,18.5
6,2,134,0.1634,0.0871,27.7,-6,9.2,33.7,18.5
6,2,113,0.2943,0.2151,26.9,0,8.3,26.9,18.6
1,2,43,0.0749,0.0517,32.1,17.7,13.5,14.4,18.6
1,2,49,0.0856,0.0633,29,6.4,10.4,22.6,18.6
2,3,48,0.1772,0.1268,7.3,-25.1,-11.3,32.4,18.6
2,2,20,0.3573,0.2304,13.2,-22.1,-5.4,35.3,18.6
1,3,3,0.5073,0.384,29.4,8.4,10.7,21,18.7
1,2,13,0.3449,0.2668,28.9,-2.8,10.2,31.7,18.7
2,3,34,0.1474,0.1108,20.5,-11.3,1.8,31.8,18.7
2,2,21,0.3441,0.2507,14.4,-19.8,-4.3,34.2,18.7
2,2,27,0.2929,0.1999,11.1,-21,-7.6,32.1,18.7
6,2,123,0.1591,0.0752,26,-8.3,7.3,34.3,18.7
6,3,215,0.2622,0.1834,29.2,-9.3,10.5,38.5,18.7
5,3,254,0.1443,0.111,39,3.7,20.2,35.3,18.8
6,3,200,0.3656,0.2524,33.1,-5.1,14.3,38.2,18.8
1,3,21,0.1689,0.1143,27.4,-7.7,8.5,35.1,18.9
1,2,4,0.5424,0.4231,26.8,4.2,7.9,22.6,18.9
2,3,30,0.2499,0.1761,13.3,-29.5,-5.6,42.8,18.9
2,2,7,0.5352,0.4197,17.9,-14,-1,31.9,18.9
2,2,49,0.1972,0.1328,8.9,-29.8,-10,38.7,18.9
5,3,201,0.1874,0.154,34.5,11.3,15.6,23.2,18.9
5,3,252,0.106,0.065,36.5,5.9,17.6,30.6,18.9
3,3,17,0.2988,0.2152,21.8,2.4,2.9,19.4,18.9
1,3,52,0.0991,0.0595,28.8,-2.9,9.8,31.7,19
2,2,80,0.232,0.1118,5.4,-22.6,-13.6,28,19
3,3,51,0.2898,0.2089,15.1,-0.9,-3.9,16,19
6,3,222,0.1254,0.0586,31.4,-5.2,12.4,36.6,19
5,3,266,0.0776,0.056,35.3,2.6,16.2,32.7,19.1
1,3,72,0.1048,0.0737,30.1,0.5,11,29.6,19.1
1,2,1,0.4741,0.3353,33.2,12.9,14.1,20.3,19.1
1,2,14,0.3356,0.2828,27.7,12,8.6,15.7,19.1
2,3,18,0.3377,0.2262,18.3,-17.2,-0.8,35.5,19.1
3,2,1,0.3891,0.2942,28,4.3,8.9,23.7,19.1
3,3,1,0.4135,0.3246,25.8,6.7,6.7,19.1,19.1
6,2,115,0.2956,0.2106,31.6,-1.2,12.5,32.8,19.1
6,2,129,0.158,0.0783,26,-8.5,6.9,34.5,19.1
6,2,130,0.1667,0.0616,25,-9.2,5.9,34.2,19.1
1,3,61,0.0838,0.061,32.3,5.8,13.1,26.5,19.2
2,3,5,0.5036,0.3567,21.2,-8,2,29.2,19.2
3,3,53,0.2874,0.2079,18.3,-13.2,-0.9,31.5,19.2
6,3,212,0.2501,0.1728,33,-7.4,13.8,40.4,19.2
2,3,10,0.4651,0.3448,17.9,-14.3,-1.4,32.2,19.3
5,2,186,0.0651,0.0515,40.4,11.3,21.1,29.1,19.3
1,3,31,0.1761,0.1176,27.1,-4.7,7.8,31.8,19.3
1,2,8,0.4402,0.3338,29,0.9,9.7,28.1,19.3
2,3,19,0.3192,0.2395,22.1,-17.1,2.8,39.2,19.3
2,3,57,0.2161,0.1354,12.4,-24.2,-6.9,36.6,19.3
2,2,10,0.5657,0.4274,16.5,-13.5,-2.8,30,19.3
1,3,53,0.0783,0.0571,31.4,-3.4,12,34.8,19.4
2,3,73,0.1238,0.0734,10.8,-25,-8.6,35.8,19.4
3,3,34,0.2693,0.1783,22,3.9,2.6,18.1,19.4
3,3,40,0.287,0.1994,18,-7,-1.4,25,19.4
6,3,238,0.1303,0.0742,30.6,-9.9,11.2,40.5,19.4
1,3,69,0.0948,0.0661,29.1,-0.05,9.6,29.15,19.5
1,3,77,0.145,0.0915,30.3,-11.2,10.8,41.5,19.5
1,1,26,0.1275,0.0956,25.1,-1.3,5.6,26.4,19.5
2,3,25,0.3527,0.2492,14.9,-20.1,-4.6,35,19.5
3,2,4,0.4583,0.3476,24.5,5.1,5,19.4,19.5
3,3,32,0.307,0.2119,22.9,-2.2,3.4,25.1,19.5
6,3,223,0.113,0.0608,27.4,-5.5,7.9,32.9,19.5
1,3,66,0.0871,0.0587,28.2,-1.5,8.6,29.7,19.6
2,1,8,0.4848,0.3593,18.6,-8.7,-1,27.3,19.6
5,2,185,0.0847,0.0485,39.1,12.4,19.5,26.7,19.6
5,3,221,0.1383,0.104,32,2.1,12.4,29.9,19.6
1,2,18,0.3907,0.3261,27.9,4.5,8.2,23.4,19.7
2,3,87,0.1078,0.0774,5.8,-32.2,-13.9,38,19.7
6,3,230,0.1237,0.0696,27,-8.7,7.3,35.7,19.7
5,3,249,0.0926,0.0575,36.2,4.3,16.5,31.9,19.7
1,3,54,0.0997,0.0644,29.9,-3.5,10.1,33.4,19.8
1,1,15,0.2799,0.1859,26.9,0.03,7.1,26.87,19.8
2,1,61,0.1036,0.0753,-5.6,-32.2,-25.4,26.6,19.8
3,3,21,0.2852,0.1887,25.4,-1.3,5.6,26.7,19.8
6,3,250,0.2073,0.1485,31.2,-8.5,11.4,39.7,19.8
2,3,39,0.1996,0.0984,14.3,-24,-5.5,38.3,19.8
2,3,69,0.1107,0.0777,8.9,-29.2,-10.9,38.1,19.8
2,2,40,0.2104,0.1257,11.3,-27.7,-8.5,39,19.8
2,2,79,0.1645,0.1173,-0.2,-27.8,-20,27.6,19.8
3,1,24,0.2596,0.1748,18.7,4.8,-1.1,13.9,19.8
1,3,11,0.1846,0.1511,30.9,-2.1,11,33,19.9
2,3,85,0.1515,0.1037,9.3,-33,-10.6,42.3,19.9
2,1,38,0.18,0.1055,14.6,-18,-5.3,32.6,19.9
3,2,97,0.2053,0.1237,22.4,-2.7,2.5,25.1,19.9
1,3,26,0.1165,0.078,31.6,-4,11.7,35.6,19.9
2,1,29,0.1363,0.09,28.1,1.9,8.2,26.2,19.9
5,3,200,0.2197,0.1785,34.1,8.5,14.2,25.6,19.9
1,1,6,0.4475,0.3417,29.6,13.7,9.6,15.9,20
2,2,48,0.279,0.1425,10.5,-28.3,-9.5,38.8,20
5,2,123,0.1297,0.1078,18.5,3.2,-1.5,15.3,20
6,3,216,0.2612,0.1813,34,-3.9,14,37.9,20
3,2,11,0.3738,0.2612,25.9,9.6,5.8,16.3,20.1
1,2,5,0.5203,0.4067,27.5,3.5,7.4,24,20.1
6,1,10,0.3565,0.273,35.5,6.1,15.4,29.4,20.1
5,3,251,0.0884,0.0651,35.9,3.8,15.7,32.1,20.2
6,3,207,0.3341,0.2472,31.9,1.5,11.7,30.4,20.2
1,3,49,0.1058,0.071,33.1,4.4,12.9,28.7,20.2
5,3,202,0.2021,0.167,33.2,8.1,13,25.1,20.2
5,3,234,0.1026,0.0734,39.3,6.1,19,33.2,20.3
6,2,125,0.1611,0.0881,27.9,-8.6,7.6,36.5,20.3
1,1,64,0.0669,0.0488,22.2,2.4,1.9,19.8,20.3
2,3,28,0.3341,0.2195,14,-20.8,-6.3,34.8,20.3
3,2,29,0.2967,0.2054,23.1,0.5,2.8,22.6,20.3
3,2,36,0.2878,0.1956,19.6,2.7,-0.7,16.9,20.3
2,3,27,0.3607,0.2472,12.8,-25.4,-7.6,38.2,20.4
3,2,95,0.1998,0.1256,21.4,9.6,1,11.8,20.4
3,3,43,0.3258,0.2192,16.7,-12.6,-3.7,29.3,20.4
5,3,215,0.152,0.1167,32.5,5.6,12.1,26.9,20.4
1,3,74,0.1645,0.1245,31.6,0.9,11.2,30.7,20.4
2,3,38,0.1719,0.1186,18.3,-19.9,-2.1,38.2,20.4
3,1,67,0.2495,0.1615,27.1,-11.9,6.7,39,20.4
1,1,24,0.1479,0.125,24.5,-3.6,4,28.1,20.5
2,1,46,0.1779,0.1364,9,-25.5,-11.5,34.5,20.5
3,1,85,0.093,0.0709,18.9,-16.4,-1.6,35.3,20.5
3,3,29,0.2991,0.211,21.5,-3.4,1,24.9,20.5
5,2,193,0.0823,0.0426,36.4,22.9,15.9,13.5,20.5
5,3,228,0.1275,0.0892,29.6,2.8,9.1,26.8,20.5
5,3,236,0.1101,0.0776,36.1,3.8,15.6,32.3,20.5
1,3,5,0.4438,0.36,31.9,3.3,11.3,28.6,20.6
3,3,31,0.2757,0.1856,23.9,1.4,3.3,22.5,20.6
5,3,255,0.1869,0.0918,38.8,10.3,18.2,28.5,20.6
2,3,24,0.3563,0.2619,16.5,-22.8,-4.1,39.3,20.6
2,1,19,0.2906,0.2068,16,-13.9,-4.6,29.9,20.6
3,1,54,0.2445,0.1682,26.3,-9,5.7,35.3,20.6
6,3,204,0.3401,0.2483,34.2,0.3,13.6,33.9,20.6
1,2,6,0.5068,0.3962,26.2,-4.1,5.5,30.3,20.7
2,3,9,0.433,0.3259,14.1,-19.3,-6.6,33.4,20.7
3,3,16,0.2729,0.2097,25.9,-0.7,5.2,26.6,20.7
6,3,218,0.2346,0.1583,29.7,-6.4,9,36.1,20.7
1,3,43,0.1773,0.1399,31.1,-5.7,10.4,36.8,20.7
1,1,35,0.1441,0.1027,26.6,-2.9,5.9,29.5,20.7
3,1,93,0.1869,0.1083,19.4,1,-1.4,18.4,20.8
3,2,38,0.2773,0.1984,24.4,1.9,3.6,22.5,20.8
2,2,32,0.188,0.1178,17.7,-17.1,-3.1,34.8,20.8
3,3,2,0.4073,0.3297,23.8,2.4,3,21.4,20.8
6,2,137,0.1589,0.0912,29,-10.4,8.2,39.4,20.8
1,1,9,0.2821,0.1565,29.8,3.4,8.9,26.4,20.9
2,3,78,0.1306,0.0901,10.4,-26.9,-10.5,37.3,20.9
1,3,14,0.1803,0.1405,29.3,-3.5,8.3,32.8,21
1,1,10,0.2816,0.181,31.4,8.1,10.4,23.3,21
1,1,20,0.1737,0.0976,34.9,5.3,13.9,29.6,21
3,2,81,0.1432,0.1147,22,4.5,1,17.5,21
3,2,86,0.2034,0.1189,21.5,-2.8,0.5,24.3,21
6,2,116,0.2878,0.21,30.7,0.1,9.7,30.6,21
5,3,217,0.1334,0.0657,33.2,3.8,12.2,29.4,21
1,3,10,0.2244,0.167,33.3,-3.7,12.2,37,21.1
6,1,54,0.2159,0.1585,32.9,-5.8,11.8,38.7,21.1
1,2,29,0.1519,0.1089,27.7,36,6.6,-8.3,21.1
3,1,2,0.3048,0.2322,31.1,3.6,10,27.5,21.1
3,2,55,0.2966,0.2247,25.3,-9.9,4.2,35.2,21.1
3,3,35,0.2417,0.1567,26.5,9.6,5.4,16.9,21.1
2,1,22,0.2788,0.2081,15.2,-21.7,-6,36.9,21.2
2,3,45,0.1939,0.1185,13.3,-22.3,-7.9,35.6,21.2
2,2,3,0.615,0.4762,18.6,-7.2,-2.6,25.8,21.2
1,2,10,0.3865,0.3033,30.9,1.1,9.6,29.8,21.3
1,1,16,0.2861,0.2009,28.7,0.9,7.4,27.8,21.3
5,3,264,0.111,0.0993,27.9,-16.1,6.6,44,21.3
5,2,172,0.1517,0.1327,31.5,18.8,10.2,12.7,21.3
6,3,214,0.2581,0.1745,33.6,-6.5,12.3,40.1,21.3
1,3,76,0.1444,0.1123,30.8,-10.2,9.4,41,21.4
2,2,28,0.3086,0.2192,11.9,-17.3,-9.5,29.2,21.4
3,2,21,0.2986,0.2119,24,-0.7,2.6,24.7,21.4
6,1,2,0.3249,0.2528,35.5,-0.5,14.1,36,21.4
6,2,121,0.1646,0.1044,29,-9.8,7.6,38.8,21.4
2,3,37,0.1501,0.0853,19.2,-18.1,-2.3,37.3,21.5
3,1,63,0.2608,0.193,26.2,-2.3,4.7,28.5,21.5
6,2,111,0.3011,0.2185,30.1,-0.5,8.6,30.6,21.5
6,2,135,0.141,0.0693,26.2,-8.3,4.7,34.5,21.5
6,2,144,0.1165,0.0654,26.6,-9.8,5.1,36.4,21.5
2,1,52,0.0823,0.0394,22.4,-7.5,0.8,29.9,21.6
1,3,63,0.0975,0.0724,31.6,0.008,10,31.592,21.6
1,3,79,0.1254,0.0892,30.3,-11,8.7,41.3,21.6
1,2,26,0.1427,0.1185,29.7,6,8.1,23.7,21.6
3,2,8,0.4472,0.3572,26.3,5.7,4.7,20.6,21.6
3,2,13,0.3413,0.2615,26.5,5.6,4.9,20.9,21.6
6,2,131,0.153,0.0854,28.3,-7.2,6.7,35.5,21.6
1,3,30,0.1753,0.1339,32.8,-9.2,11.1,42,21.7
1,3,78,0.1281,0.0931,29.4,-8.7,7.7,38.1,21.7
2,2,26,0.3409,0.2673,20.5,-18.2,-1.2,38.7,21.7
2,1,20,0.2923,0.2134,17.4,-13.8,-4.3,31.2,21.7
3,3,4,0.4035,0.3066,21.2,0.7,-0.5,20.5,21.7
6,3,242,0.1435,0.0748,30.2,-1.1,8.5,31.3,21.7
1,3,19,0.1863,0.1495,31.1,-5.7,9.4,36.8,21.7
1,2,44,0.0964,0.0762,36.6,18.7,14.9,17.9,21.7
3,2,79,0.1596,0.1143,25.1,12.6,3.4,12.5,21.7
5,3,232,0.0909,0.0684,45.6,8,23.9,37.6,21.7
