sub,POA,token,syll_dur,v_dur,vot,Av,Ahi,max23,HiDiff,F23Diff
8,3,1324,0.203,0.143,0.06,43.6,10.1,33,33.5,10.6
10,3,1638,0.142,0.094,0.048,21.9,1.6,11.3,20.3,10.6
1,3,159,0.4817,0.3758,0.1059,30.2,9.6,19.5,20.6,10.7
8,3,1316,0.354,0.275,0.079,45.5,17.6,34.8,27.9,10.7
10,3,1606,0.31,0.245,0.065,29.3,6.1,18.6,23.2,10.7
10,3,1615,0.26,0.172,0.088,27.5,3.4,16.8,24.1,10.7
2,3,403,0.142,0.105,0.037,36.6,11.6,25.8,25,10.8
3,3,530,0.546,0.482,0.064,43.6,12.9,32.8,30.7,10.8
8,3,1325,0.195,0.123,0.072,40.5,11.9,29.7,28.6,10.8
8,3,1328,0.204,0.133,0.071,44.4,11.8,33.6,32.6,10.8
10,3,1616,0.228,0.174,0.054,30.8,5.4,20,25.4,10.8
8,3,1313,0.401,0.326,0.075,39.8,11.4,28.9,28.4,10.9
8,3,1347,0.164,0.093,0.071,44.3,10.9,33.4,33.4,10.9
10,3,1594,0.345,0.254,0.091,24.5,9.7,13.6,14.8,10.9
12,3,123,0.363,0.297,0.066,21,-3.8,10.1,24.8,10.9
3,3,529,0.495,0.444,0.051,44.3,11.4,33.3,32.9,11
5,3,1012,0.298,0.219,0.079,30.9,1.3,19.9,29.6,11
10,3,1599,0.287,0.213,0.074,27.3,10.6,16.3,16.7,11
10,3,1609,0.234,0.17,0.064,31.4,6.6,20.4,24.8,11
12,3,102,0.462,0.377,0.085,22.3,-0.7,11.3,23,11
2,2,319,0.343,0.236,0.107,24.4,4.5,13.3,19.9,11.1
7,3,1167,0.467,0.418,0.049,29.8,11.3,18.7,18.5,11.1
9,3,1459,0.273,0.211,0.062,37.3,11.5,26.2,25.8,11.1
8,3,1323,0.212,0.133,0.079,41.7,12.2,30.5,29.5,11.2
1,3,213,0.1052,0.0679,0.0373,30.9,-2.5,19.6,33.4,11.3
10,3,1600,0.282,0.206,0.076,27.2,9.9,15.9,17.3,11.3
7,3,1179,0.171,0.148,0.023,30.4,15.2,19,15.2,11.4
7,3,1183,0.166,0.139,0.027,32.5,5.6,21.1,26.9,11.4
9,3,1450,0.386,0.315,0.071,40.1,19.4,28.7,20.7,11.4
10,2,1593,0.131,0.107,0.024,19.1,7.1,7.7,12,11.4
12,3,104,0.488,0.416,0.072,23.6,-1.8,12.1,25.4,11.5
2,2,317,0.378,0.247,0.131,23.8,2.5,12.2,21.3,11.6
9,3,1444,0.367,0.312,0.055,41.4,14.6,29.7,26.8,11.7
9,3,1460,0.233,0.166,0.067,41.4,16.7,29.7,24.7,11.7
10,3,1618,0.261,0.226,0.035,24,-0.3,12.2,24.3,11.8
10,3,1620,0.233,0.192,0.041,28.8,5.4,17,23.4,11.8
4,3,810,0.1034,0.0584,0.045,26.7,6.3,14.7,20.4,12
5,2,980,0.0178,0.0139,0.0039,24.9,3.4,12.9,21.5,12
12,3,109,0.428,0.351,0.077,26,-4.1,14,30.1,12
7,3,1173,0.5,0.461,0.039,32.3,14.3,20.2,18,12.1
12,3,103,0.501,0.409,0.092,22.8,-1.4,10.7,24.2,12.1
6,3,4,0.273,0.221,0.052,44.3,5,32.1,39.3,12.2
12,3,117,0.349,0.279,0.07,25.3,-3.5,13.1,28.8,12.2
12,3,122,0.34,0.287,0.053,22.7,-6,10.5,28.7,12.2
